url,status,depth,content_type,title
https://journal.uod.ac/index.php/uodjournal/article/view/1020/735,200,1,text/html,View of (نوسینەوەی مێژووی کورد لە ئێران لە نێوان سیکوچکەی وەبیرهینانەوە، لەبیر بردنەوە و داهێنان (ئاوڕدانەوەیەکی شیكاری رەخنەگرانە لە کتێبی کرد و کردستان-ی ڕەشید یاسمی
https://journal.uod.ac/index.php/uodjournal/article/view/1021,200,1,text/html,"كوردستان د وێسگه‌هێن پرسا ڕۆژهه‌لاتی دا (1813-1867) ""شاشی و راستڤه‌كرن""  ڤه‌كۆلیینه‌كا دیرۆكی
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1021/736,200,1,text/html,"View of كوردستان د وێسگه‌هێن پرسا ڕۆژهه‌لاتی دا (1813-1867) ""شاشی و راستڤه‌كرن""  ڤه‌كۆلیینه‌كا دیرۆكی"
https://journal.uod.ac/index.php/uodjournal/article/view/1022,200,1,text/html,"(رەگ وریشەی رەچەڵکی کورد لەبەررۆشنایی سەرچاوەکانی میژوودا (لێکۆڵینەوەیەکی مێژوویی بەراوردکاری شیکاریە
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1022/737,200,1,text/html,View of (رەگ وریشەی رەچەڵکی کورد لەبەررۆشنایی سەرچاوەکانی میژوودا (لێکۆڵینەوەیەکی مێژوویی بەراوردکاری شیکاریە
https://journal.uod.ac/index.php/uodjournal/article/view/1023,200,1,text/html,"(پەرتووكا ""الاكراد فی بهدینان"" د خواندنەكا رەخنەیی و ڕاستڤەكرنێن دیرۆكی دا (ڤەكۆلینەكا بەڵگەنامەیی
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1023/738,200,1,text/html,"View of (پەرتووكا ""الاكراد فی بهدینان"" د خواندنەكا رەخنەیی و ڕاستڤەكرنێن دیرۆكی دا (ڤەكۆلینەكا بەڵگەنامەیی"
https://journal.uod.ac/index.php/uodjournal/article/view/1024,200,1,text/html,"وێنەی کورد و کوردستان لەلای ڕۆژهەڵاتناسان لە بڵاوکراوەکانی ئەڵمانیادا لە سەدەی نۆزدەهەم،  لێکۆڵینەوەیەکی شیکاری ڕەخنەیی
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1024/739,200,1,text/html,View of وێنەی کورد و کوردستان لەلای ڕۆژهەڵاتناسان لە بڵاوکراوەکانی ئەڵمانیادا لە سەدەی نۆزدەهەم،  لێکۆڵینەوەیەکی شیکاری ڕەخنەیی
https://journal.uod.ac/index.php/uodjournal/article/view/1025,200,1,text/html,"الحكم الكوتي لبلاد وادي الرافدين(2250-2130 ق.م) دراسة نقدية للنصوص المسمارية
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1025/740,200,1,text/html,View of الحكم الكوتي لبلاد وادي الرافدين(2250-2130 ق.م) دراسة نقدية للنصوص المسمارية
https://journal.uod.ac/index.php/uodjournal/article/view/1026,200,1,text/html,"-بين السهل والجبل الحقيقة في تبيان ماهو سامي و غير سامي في كردستان القديمة- بحث في اللغة و الفن
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1026/741,200,1,text/html,View of -بين السهل والجبل الحقيقة في تبيان ماهو سامي و غير سامي في كردستان القديمة- بحث في اللغة و الفن
https://journal.uod.ac/index.php/uodjournal/article/view/1027,200,1,text/html,"تحليل رموز منحوتات كهف كندك في عقرة دراسة تحليلية نقدية
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1027/742,200,1,text/html,View of تحليل رموز منحوتات كهف كندك في عقرة دراسة تحليلية نقدية
https://journal.uod.ac/index.php/uodjournal/article/view/1028,200,1,text/html,"اشكالية المصادر السريانية  حول تاريخ  وجغرافية كردستان دراسة تحليلية نقدية
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1028/743,200,1,text/html,View of اشكالية المصادر السريانية  حول تاريخ  وجغرافية كردستان دراسة تحليلية نقدية
https://journal.uod.ac/index.php/uodjournal/article/view/1029,200,1,text/html,"""الفتح الاسلامي لكوردستان بين التفسير الديني والمنطق التاريخي ""اراء مجموعة من الاكاديميين الكورد انموذجاً
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1029/744,200,1,text/html,"View of ""الفتح الاسلامي لكوردستان بين التفسير الديني والمنطق التاريخي ""اراء مجموعة من الاكاديميين الكورد انموذجاً"
https://journal.uod.ac/index.php/uodjournal/article/view/1030,200,1,text/html,"الايزيدية في عدد من كتابات المؤرخين العراقيين رؤية نقدية 
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1030/745,200,1,text/html,View of الايزيدية في عدد من كتابات المؤرخين العراقيين رؤية نقدية
https://journal.uod.ac/index.php/uodjournal/article/view/1031,200,1,text/html,"التقييم الجغرافي لخدمة المساجد في مدينة دهوك  دراسة في جغرافية الخدمات
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1031/746,200,1,text/html,View of التقييم الجغرافي لخدمة المساجد في مدينة دهوك  دراسة في جغرافية الخدمات
https://journal.uod.ac/index.php/uodjournal/article/view/1032,200,1,text/html,"TYPES OF POWER IN INTERTEXTUALITY: SIR KEN ROBINSON'S TED TALK 'DO SCHOOLS KILL CREATIVITY?' AS A SAMPLE
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1032/747,200,1,text/html,View of TYPES OF POWER IN INTERTEXTUALITY: SIR KEN ROBINSON'S TED TALK 'DO SCHOOLS KILL CREATIVITY?' AS A SAMPLE
https://journal.uod.ac/index.php/uodjournal/article/view/1036,200,1,text/html,"BEARING RESISTANCE OF CFRP WRAPPED CONCRETE
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1036/748,200,1,text/html,View of BEARING RESISTANCE OF CFRP WRAPPED CONCRETE
https://journal.uod.ac/index.php/uodjournal/article/view/1057,200,1,text/html,"ئیستاتیكا جهى بابه‌ته‌كێ گرنگه‌ ژ بابه‌تێن ئه‌ده‌بى. ئه‌ڤ ڤه‌كۆلینه‌ ب ناڤونیشان(ئیساتیكا جهى د ڕۆمانین سه‌برى سلیڤانه‌یدا)، كو تێدا هه‌ول هاتییه‌ دان، به‌حسێ ئیستاتیكا جهى د چار ڕۆمانێن سه‌برى سلیڤانه‌یدا بهیته‌ ده‌ستنیشانكرن، كو ل دویڤ ڕێبازا وه‌سفى شیك
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1057/758,200,1,text/html,View of ئیستاتیكا جهى بابه‌ته‌كێ گرنگه‌ ژ بابه‌تێن ئه‌ده‌بى. ئه‌ڤ ڤه‌كۆلینه‌ ب ناڤونیشان(ئیساتیكا جهى د ڕۆمانین سه‌برى سلیڤانه‌یدا)، كو تێدا هه‌ول هاتییه‌ دان، به‌حسێ ئیستاتیكا جهى د چار ڕۆمانێن سه‌برى سلیڤانه‌یدا بهیته‌ ده‌ستنیشانكرن، كو ل دویڤ ڕێبازا وه‌سفى شیك
https://journal.uod.ac/index.php/uodjournal/article/view/1061,200,1,text/html,"MOLECULAR CHARACTERAZATİON OF  VİRULENCE FACTORS  AMONG ANTİBACTERİAL RESİSTANT Pseudomonas Aerugınosa ISOLATED FROM BURN INFECTİONS FROM DUHOK AND  ERBİL HOSPİTALS/IRAQ
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1061/807,200,1,text/html,View of MOLECULAR CHARACTERAZATİON OF  VİRULENCE FACTORS  AMONG ANTİBACTERİAL RESİSTANT Pseudomonas Aerugınosa ISOLATED FROM BURN INFECTİONS FROM DUHOK AND  ERBİL HOSPİTALS/IRAQ
https://journal.uod.ac/index.php/uodjournal/article/view/1062,200,1,text/html,"EFFECT OF USING WASTE IRON POWDER AS FILLER ON ASPHALT MIXTURE PROPERTIES
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1062/808,200,1,text/html,View of EFFECT OF USING WASTE IRON POWDER AS FILLER ON ASPHALT MIXTURE PROPERTIES
https://journal.uod.ac/index.php/uodjournal/article/view/1063,200,1,text/html,"MOLECULAR STUDY OF Acinetobacter baumannii USING 16S RRNA AND BLA OXA-51 GENE ISOLATED FROM HOSPITALS IN DUHOK-KURDISTAN REGION, IRAQ
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1063/809,200,1,text/html,"View of MOLECULAR STUDY OF Acinetobacter baumannii USING 16S RRNA AND BLA OXA-51 GENE ISOLATED FROM HOSPITALS IN DUHOK-KURDISTAN REGION, IRAQ"
https://journal.uod.ac/index.php/uodjournal/article/view/1064,200,1,text/html,"DETERMINATION EXTENSIONAL VISCOSITY AND CRACKING INDEX OF SULFURE WASTE MODIFIED ASPHALT CEMENT
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1064/810,200,1,text/html,View of DETERMINATION EXTENSIONAL VISCOSITY AND CRACKING INDEX OF SULFURE WASTE MODIFIED ASPHALT CEMENT
https://journal.uod.ac/index.php/uodjournal/article/view/1065,200,1,text/html,"SELF-MEDICATION WITH ANALGESICS AMONG MEDICAL  AND PHARMACY STUDENTS OF UNIVERSITY OF  DUHOK - KURDISTAN REGION, IRAQ
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1065/811,200,1,text/html,"View of SELF-MEDICATION WITH ANALGESICS AMONG MEDICAL  AND PHARMACY STUDENTS OF UNIVERSITY OF  DUHOK - KURDISTAN REGION, IRAQ"
https://journal.uod.ac/index.php/uodjournal/article/view/1066,200,1,text/html,"MATHEMATICAL TREATMENT OF  DUAL SCALING
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1066/812,200,1,text/html,View of MATHEMATICAL TREATMENT OF  DUAL SCALING
https://journal.uod.ac/index.php/uodjournal/article/view/1067,200,1,text/html,"THE SPECTROPHOTOMETRIC DETERMINATION OF CHROMIUM (VI) USING N, N-DIETHYL-P-PHENYLENEDIAMINE IN SYNTHETICALLY PREPARED WASTEWATER, AND TAP WATER
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1067/813,200,1,text/html,"View of THE SPECTROPHOTOMETRIC DETERMINATION OF CHROMIUM (VI) USING N, N-DIETHYL-P-PHENYLENEDIAMINE IN SYNTHETICALLY PREPARED WASTEWATER, AND TAP WATER"
https://journal.uod.ac/index.php/uodjournal/article/view/1068,200,1,text/html,"ACCURACY OF SEROLOGICAL AND STOOL ANTIGEN TESTS  (NON-INVASIVE) FOR DETECTION OF H. pylori
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1068/814,200,1,text/html,View of ACCURACY OF SEROLOGICAL AND STOOL ANTIGEN TESTS  (NON-INVASIVE) FOR DETECTION OF H. pylori
https://journal.uod.ac/index.php/uodjournal/article/view/1069,200,1,text/html,"SEISMIC VULNERABILITY ASSESSMENT OF EXISTING RC MULTI-STORY BUILDINGS IN DUHOK CITY, KURDISTAN REGION OF IRAQ
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1069/815,200,1,text/html,"View of SEISMIC VULNERABILITY ASSESSMENT OF EXISTING RC MULTI-STORY BUILDINGS IN DUHOK CITY, KURDISTAN REGION OF IRAQ"
https://journal.uod.ac/index.php/uodjournal/article/view/1077,200,1,text/html,"INTERNATIONAL MECHANISMS FOR PROSECUTING ISIL MEMBERS FOR THEIR CRIME OF GENOCIDE AGAINST YAZIDIS PEOPLE  IN SINJAR, IRAQ - 2014 INTERNATİONAL CRİMİNAL COURT (ICC) AS A CASE STUDY
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1077/778,200,1,text/html,"View of INTERNATIONAL MECHANISMS FOR PROSECUTING ISIL MEMBERS FOR THEIR CRIME OF GENOCIDE AGAINST YAZIDIS PEOPLE  IN SINJAR, IRAQ - 2014 INTERNATİONAL CRİMİNAL COURT (ICC) AS A CASE STUDY"
https://journal.uod.ac/index.php/uodjournal/article/view/1080,200,1,text/html,"به‌لگه‌نامێن جینۆسایدێ د سرتانا فولكلۆری یا كوردیدا
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1080/779,200,1,text/html,View of به‌لگه‌نامێن جینۆسایدێ د سرتانا فولكلۆری یا كوردیدا
https://journal.uod.ac/index.php/uodjournal/article/view/1081,200,1,text/html,"پاڵده‌رێن سایكۆلۆجی ل پشت ئه‌جنامدانا جینۆسایدا ئێزدیان ل ساال 2014ێ
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1081/780,200,1,text/html,View of پاڵده‌رێن سایكۆلۆجی ل پشت ئه‌جنامدانا جینۆسایدا ئێزدیان ل ساال 2014ێ
https://journal.uod.ac/index.php/uodjournal/article/view/1082,200,1,text/html,"پاڵنه‌ره‌كانى ده‌ستپێكى تاوانى ئه‌نفال  (چه‌مى زه‌نگه‌نه‌ به‌نمونه‌)
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1082/781,200,1,text/html,View of پاڵنه‌ره‌كانى ده‌ستپێكى تاوانى ئه‌نفال  (چه‌مى زه‌نگه‌نه‌ به‌نمونه‌)
https://journal.uod.ac/index.php/uodjournal/article/view/1084,200,1,text/html,"ISOLATION AND IDENTIFICATION OF FUNGI ASSOCIATED WITH  DIFFERENT SPECIES OF STORED GRAINES
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1084/782,200,1,text/html,View of ISOLATION AND IDENTIFICATION OF FUNGI ASSOCIATED WITH  DIFFERENT SPECIES OF STORED GRAINES
https://journal.uod.ac/index.php/uodjournal/article/view/1085,200,1,text/html,"رەنگدانەوەی كۆمەڵكوژی كورد و میللەتانی تر لە كتێبی  كۆمەاڵیەتی قۆناغی بنەڕەتی لە هەرێمی كوردستان
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1085/783,200,1,text/html,View of رەنگدانەوەی كۆمەڵكوژی كورد و میللەتانی تر لە كتێبی  كۆمەاڵیەتی قۆناغی بنەڕەتی لە هەرێمی كوردستان
https://journal.uod.ac/index.php/uodjournal/article/view/1086,200,1,text/html,"إرهاب الخليفة المعتصم بالله(218 -227هـ/833 – 841م) للكورد و اضطهادهم سنة226هـ/840م دراسة تاريخية
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1086/784,200,1,text/html,View of إرهاب الخليفة المعتصم بالله(218 -227هـ/833 – 841م) للكورد و اضطهادهم سنة226هـ/840م دراسة تاريخية
https://journal.uod.ac/index.php/uodjournal/article/view/1087,200,1,text/html,"الإبادة الجماعية في روندا - مقاربة تاريخية
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1087/785,200,1,text/html,View of الإبادة الجماعية في روندا - مقاربة تاريخية
https://journal.uod.ac/index.php/uodjournal/article/view/1088,200,1,text/html,"الإبادة والصدمة في المأساة الإغريقية القديمة - مسرحيات يوريبيديس أنموذجا-  (دراسة تحليلية وفق منهج رفائيل لمكِن)
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1088/786,200,1,text/html,View of الإبادة والصدمة في المأساة الإغريقية القديمة - مسرحيات يوريبيديس أنموذجا-  (دراسة تحليلية وفق منهج رفائيل لمكِن)
https://journal.uod.ac/index.php/uodjournal/article/view/1089,200,1,text/html,"(البعد القومي لحملات إلابادة الجماعية في المناطق المتنازع عليها (مدينة خانقين أنموذجا
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1089/787,200,1,text/html,View of (البعد القومي لحملات إلابادة الجماعية في المناطق المتنازع عليها (مدينة خانقين أنموذجا
https://journal.uod.ac/index.php/uodjournal/article/view/1090,200,1,text/html,"(( التسامح الديني ودوره في كبح جماح الأيديولوجيات العنفية المفضية للإبادة الجماعية –  الكورد والشيعة والإيزيديين أنموذجاً ))
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1090/788,200,1,text/html,View of (( التسامح الديني ودوره في كبح جماح الأيديولوجيات العنفية المفضية للإبادة الجماعية –  الكورد والشيعة والإيزيديين أنموذجاً ))
https://journal.uod.ac/index.php/uodjournal/article/view/1091,200,1,text/html,"التفجيرات النووية الفرنسية في الجزائر كأحد أهم نماذج جرائم الإبادة الجماعية في القرن العشرين
							| Journal of Duhok University"
https://journal.uod.ac/index.php/uodjournal/article/view/1091/789,200,1,text/html,View of التفجيرات النووية الفرنسية في الجزائر كأحد أهم نماذج جرائم الإبادة الجماعية في القرن العشرين
