url,source_page,file,bytes,content_type
https://journal.uod.ac/index.php/uodjournal/article/download/3308/1866/,https://journal.uod.ac/index.php/uodjournal/article/view/3308/1866,article_3308_1866_7515ffe9.pdf,2010722,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3309/1867/,https://journal.uod.ac/index.php/uodjournal/article/view/3309/1867,article_3309_1867_0886f2fe.pdf,1453507,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3310/1868/,https://journal.uod.ac/index.php/uodjournal/article/view/3310/1868,article_3310_1868_d47611d3.pdf,1796419,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3312/1869/,https://journal.uod.ac/index.php/uodjournal/article/view/3312/1869,article_3312_1869_84338a57.pdf,1267671,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3313/1870/,https://journal.uod.ac/index.php/uodjournal/article/view/3313/1870,article_3313_1870_eeb4bbe6.pdf,1032333,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3314/1871/,https://journal.uod.ac/index.php/uodjournal/article/view/3314/1871,article_3314_1871_b9b5e617.pdf,1146625,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3315/1872/,https://journal.uod.ac/index.php/uodjournal/article/view/3315/1872,article_3315_1872_6fdf8c45.pdf,859409,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3316/1873/,https://journal.uod.ac/index.php/uodjournal/article/view/3316/1873,article_3316_1873_4ecf9478.pdf,758978,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3319/1874/,https://journal.uod.ac/index.php/uodjournal/article/view/3319/1874,article_3319_1874_010f255a.pdf,1124981,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3320/1875/,https://journal.uod.ac/index.php/uodjournal/article/view/3320/1875,article_3320_1875_86e5d854.pdf,1091086,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3321/1876/,https://journal.uod.ac/index.php/uodjournal/article/view/3321/1876,article_3321_1876_781c2118.pdf,624311,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3322/1877/,https://journal.uod.ac/index.php/uodjournal/article/view/3322/1877,article_3322_1877_14c9a7e1.pdf,604543,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3323/1878/,https://journal.uod.ac/index.php/uodjournal/article/view/3323/1878,article_3323_1878_6b330698.pdf,2043693,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3324/1879/,https://journal.uod.ac/index.php/uodjournal/article/view/3324/1879,article_3324_1879_c71063cf.pdf,867472,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3325/1880/,https://journal.uod.ac/index.php/uodjournal/article/view/3325/1880,article_3325_1880_bfce212d.pdf,1950322,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3326/1881/,https://journal.uod.ac/index.php/uodjournal/article/view/3326/1881,article_3326_1881_004f2b81.pdf,665738,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3327/1882/,https://journal.uod.ac/index.php/uodjournal/article/view/3327/1882,article_3327_1882_c0dee961.pdf,1137278,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3328/1883/,https://journal.uod.ac/index.php/uodjournal/article/view/3328/1883,article_3328_1883_4082ca5b.pdf,977632,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3329/1884/,https://journal.uod.ac/index.php/uodjournal/article/view/3329/1884,article_3329_1884_7eeae6c6.pdf,1186458,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3330/1885/,https://journal.uod.ac/index.php/uodjournal/article/view/3330/1885,article_3330_1885_50c7d0ce.pdf,2355501,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3331/1886/,https://journal.uod.ac/index.php/uodjournal/article/view/3331/1886,article_3331_1886_0c8554a8.pdf,5194727,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3332/1887/,https://journal.uod.ac/index.php/uodjournal/article/view/3332/1887,article_3332_1887_dab0d66b.pdf,1467224,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3333/1888/,https://journal.uod.ac/index.php/uodjournal/article/view/3333/1888,article_3333_1888_b9cc3355.pdf,1277501,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3334/1889/,https://journal.uod.ac/index.php/uodjournal/article/view/3334/1889,article_3334_1889_cfcf9cab.pdf,1090946,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3335/1890/,https://journal.uod.ac/index.php/uodjournal/article/view/3335/1890,article_3335_1890_3396ed4a.pdf,904541,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3336/1891/,https://journal.uod.ac/index.php/uodjournal/article/view/3336/1891,article_3336_1891_8a9c2c14.pdf,1558301,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3337/1892/,https://journal.uod.ac/index.php/uodjournal/article/view/3337/1892,article_3337_1892_d133e0c3.pdf,813534,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3338/1893/,https://journal.uod.ac/index.php/uodjournal/article/view/3338/1893,article_3338_1893_c352effb.pdf,788683,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3339/1894/,https://journal.uod.ac/index.php/uodjournal/article/view/3339/1894,article_3339_1894_52545800.pdf,2135808,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3340/1895/,https://journal.uod.ac/index.php/uodjournal/article/view/3340/1895,article_3340_1895_bbf24a51.pdf,1596835,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3341/1896/,https://journal.uod.ac/index.php/uodjournal/article/view/3341/1896,article_3341_1896_883bb9f3.pdf,1340283,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3342/1897/,https://journal.uod.ac/index.php/uodjournal/article/view/3342/1897,article_3342_1897_d9f69568.pdf,1549513,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3343/1898/,https://journal.uod.ac/index.php/uodjournal/article/view/3343/1898,article_3343_1898_dde2c818.pdf,1230140,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3344/1899/,https://journal.uod.ac/index.php/uodjournal/article/view/3344/1899,article_3344_1899_00b7ad87.pdf,1442699,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3345/1839/,https://journal.uod.ac/index.php/uodjournal/article/view/3345/1839,article_3345_1839_53da3361.pdf,1059520,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3346/1900/,https://journal.uod.ac/index.php/uodjournal/article/view/3346/1900,article_3346_1900_57bc3176.pdf,2289142,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3347/1901/,https://journal.uod.ac/index.php/uodjournal/article/view/3347/1901,article_3347_1901_c6ba1634.pdf,1464734,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3348/1902/,https://journal.uod.ac/index.php/uodjournal/article/view/3348/1902,article_3348_1902_d780fd2d.pdf,1572674,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3349/1905/,https://journal.uod.ac/index.php/uodjournal/article/view/3349/1905,article_3349_1905_3f863abd.pdf,1099022,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3350/1904/,https://journal.uod.ac/index.php/uodjournal/article/view/3350/1904,article_3350_1904_589d4e64.pdf,2102887,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/3351/1903/,https://journal.uod.ac/index.php/uodjournal/article/view/3351/1903,article_3351_1903_4806ed80.pdf,2001575,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/2835/1529/,https://journal.uod.ac/index.php/uodjournal/article/view/2835/1529,article_2835_1529_000517ae.pdf,975946,application/pdf
https://journal.uod.ac/index.php/uodjournal/article/download/2836/1530/,https://journal.uod.ac/index.php/uodjournal/article/view/2836/1530,article_2836_1530_8640f8df.pdf,576206,application/pdf
