                                             فه‌رهه‌نگوك

ژ	              زمانێ كوردى	                  زمانێ عه‌ره‌بى
125	رستنا ناڤه‌كى	النسیج الداخلی
126	رڤشت	أصلْ
127	ره و ریشال	جژور
128	روانگه‌	مُنگَلقْ- مرصد
129	رێژه‌یى	نسبی
130	رێنمایى	تَعلیمات
131	سه‌ره‌ده‌رى	تَعامل
132	سه‌ره‌ڕاى ڤێ چه‌ندێ	إچافه‌ً إلى ژلك
133	سه‌روكانى	منبعْ
134	سوزداریا خوه‌یى	عاگفیّه‌ ژاتیه‌
135	سونجى	أخلاقی
136	سیما	مڤهَرْ
137	شاك	غُصنْ
138	شلۆڤه‌كرن	تَحلیل

ژ	                   زمانێ كوردى	                      زمانێ عه‌ره‌بى
139	شیعرایه‌تى	الشعریّه‌
140	شێلیبوون	عَدم الوچوح
141	فاكته‌ر	عامل
142	فره‌تێكستى(transtextualitè)	التعددیه‌ النصیه‌-التعالی النصی- التعالی النصی
143	فره‌ڕامانى	تَعَدُدْ المعانی
144	فشار	چغگ
145	فورم	شَكلْ
146	ڤالاتى	فَراغ
147	ڤه‌بڕ و ره‌ها	قاگع و مُگْڵقْ
148	ڤه‌دیتن	إكتِشاف
149	ڤه‌ژه‌ن- ره‌نگڤه‌دان	إنعِكاس
150	ڤه‌ڕێژ	مَصَبْ
151	ڤه‌شارتى	مَخفی
152	ڤه‌گۆهاستن	نَقل- تَحویل
153	ڤڕێكه‌ر	مُرسَلْ
154	كۆد	شَفره‌
155	كه‌سێن تاگیر	المُوالون
156	كه‌نال	قناه‌ْ
157	كوژى	زاویه‌
158	كونتێكس	سیاق
159	كونتێكسێ هه‌لویستى	سیاقُ الموقف
160	كویراتیا میتودى	العُمق المنهَجی
161	كێشه‌	قچیه‌

ژ	                   زمانێ كوردى	                      زمانێ عه‌ره‌بى
162	كێلگه‌	حَقل
163	گۆتارا سه‌رڤه‌یى	خِگابْ سَگحی
164	گۆتاره‌كا تاگیر	خِگابْ موالی
165	گۆهڕان-گۆهڕین	تَغیرْ
166	گه‌ردوون	كَون
167	گه‌هدكه‌ت	یُمَفصلْ
168	گیتیكیا هه‌ستپێكرى	مادیّه‌ مَحسوسه‌
169	لۆژیك	مَنگق
170	لادان/ ڤاڕێبوون	أنزیاح
171	ماینه‌ڤى/ ئایدیالى	مَعْنَوی
172	مه‌تریالى	مادّی
173	مه‌ندى- جێگیرى	پبوت
174	مژدارى-مژاوى	غامچ- غموچ
175	ملكه‌چى	خچوع
176	مورك	گابعْ
177	موركه‌كێ دناڤداچووى	گابع مُتَرسّخْ
178	میتا تێكست(metatextualité)	الماورائیه‌ النصیه‌
179	میتود	مَنهَج
180	میكانیزم	ێلیّه‌
181	ناسازى	تناقُچْ
182	ناسنامه‌	هویّه‌
183	ناڤگرتن	تُچَمّنْ
184	ناڤكرن	تَسمیه‌

ژ	                   زمانێ كوردى	                      زمانێ عه‌ره‌بى
185	ناڤونیشانێ ئازراندكه‌ر	العنوان المُپیرْ
186	ناڤونیشانێ ئورجینال	العنوان الأصیل
187	ناڤونیشانێ تایى	العنوان الفرعی
188	ناڤونیشانێ تواوكه‌ر	العنوان المُتمّمْ
189	ناڤونیشانێ ده‌ستنیشانكه‌رێ ژانڕى	العنوان المُحدّد للجنس
190	ناڤونیشانێ ده‌وروبه‌ر	العنوان المُحیگ
191	ناڤونیشانێ دیارى	العنوان الإهدائی
192	ناڤونیشانێ سه‌متكه‌ر	العنوان الموجّهْ
193	ناڤونیشانێ سه‌متى	العنوان التوجیهی
194	ناڤونیشانێ ناڤه‌كى	العنوان الداخلی
195	ناڤونیشانێن ده‌ستنیشانكه‌ر	العنوان المحدّدْ
196	نه‌په‌نى	مَخفی
197	نه‌ریت/عورف	عُرفْ
198	نهێنى	أسرار
199	نورمالیا داهێنانێ	مِپالیّه‌ الإبْداع
200	نیشان	عَلامه‌
201	نیشانا ئورجینال	العلامه‌ الأصلیّه‌
202	نیشاندان	عَرچ
203	نیشانكار	دال
204	نیشانكراو-نیشانكرى	مَدلول
205	نیفشكێ رامانێ	زَبَدُ المَعنى
206	هۆشدارى	تنبیه
207	هۆشمه‌ندى	ۆعی

ژ	                   زمانێ كوردى	                      زمانێ عه‌ره‌بى
208	هه‌ژى	قدیر
209	هه‌ڕه‌مه‌كى	اعتباگی
210	هه‌ستیار	حَسّاس
211	هه‌ڤبه‌ندكرن	رَبگ
212	هه‌ڤبه‌ندیه‌كا پێكگۆهارتى	علاقه‌- ارتِباگ تَبادُلی
213	هه‌ڤتێكستى	تناص
214	هه‌ڤڕامان	مُتَرادف
215	هه‌ڤسه‌نگى	تَوازن
216	هه‌ڤوك	جمله‌
217	هه‌لبه‌ت	حَتُماً
218	هه‌لوه‌شاندن	تَفكیك
219	هه‌مبه‌ر	مُقابلْ
220	هه‌مبێز	حُچن
221	هزر	فكرْ
222	هزره‌كا ته‌مام و هه‌مه‌لایه‌ن	فكره‌ كامِله‌ و مِنْ جَمیع الجَوانبْ
223	همبز	كَپیف
224	هنداكرن	فُقْدان
225	هویركارى	تَفاصیل
226	هیپه‌رتێكست (hypertexte)	النص اللاحق
227	هێله‌كا هه‌ڤته‌ریب	خَگْ موازی
228	هێلكارى	خَگّاگه‌
229	وه‌رار و ڤه‌ژاندن	تَنمیّه‌ و إحْیا‌و
230	وه‌رچه‌رخان	إنْعِگاف

ژ	                   زمانێ كوردى	                      زمانێ عه‌ره‌بى
231	وه‌رگر	مُتَڵقی
232	وه‌كهه‌ڤى	تَماپُل- تَشابُه
233	وێنێ راستیده‌ر	الصوره‌ الحقیقیه‌ 
234	یه‌كتربڕ	تَقاگعْ

